license_number,application_number,business_name,license_type,application_fee,lic_fee_amount,dbe,approved_license_type,priority_type,application_status,row_ct,business_address_1,business_city,business_state,business_zipcode,mailing_address_1,mailing_city,mailing_state,mailing_zipcode,establishment_address_1,establishment_city,establishment_state,establishment_zip_code,square_footage_establishment,abutters_count,is_abutters_notified,massachusetts_business,app_create_date,geocoded_column,:@computed_region_4aer_mww6,activity_date,version,Address,lon,lat,town_pop,Distance
MR281978,MRN281978,Galil Greenery LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,235 Main St.,Northampton,MA,1060,69B Day Ave,Northampton,MA,1060,235 Main St.,Northampton,MA,1060,2400,30,Yes,1345139,2018-10-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.63271401299994, 42.31801501100006]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,235+Main+St.+Northampton+MA,-72.632649,42.3179861,28549,213
MR282587,MRN282587,Tree Market Lynn LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,One International Place,Boston,MA,2110,10 Fiddler Crab Lane,Mashpee,MA,2649,100 Ford Street,Lynn,MA,1904,1485,49,Yes,1339279,2019-04-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.95693695899996, 42.47682198500007]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,One+International+Place+Boston+MA,-71.0522839,42.3559813,617594,57.1
MR283040,MRN283040,"Turning Leaf Centers Northampton, LLC",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,261 King Street,Northampton,MA,1060,PO Box 1328,East Otis,MA,1029,261 King Street,Northampton,MA,1060,5840,12,Yes,1403270,2019-10-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.63397004099994, 42.33137098700007]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,261+King+Street+Northampton+MA,-72.6339194,42.3313874,28549,214
MR281383,MRN281383,Elev8 Cannabis Inc.,Marijuana Retailer,300,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,243 Main Street,Athol,MA,1331,243 Main Street,Athol,MA,1331,14 South Main Street,Orange,MA,1364,815,58,Yes,1337824,2018-05-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.30986003399994, 42.59032900600005]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,243+Main+Street+Athol+MA,-72.2343202,42.593442,11584,120
MR282267,MRN282267,Grass Appeal LLC,Marijuana Retailer,300,10000,Veteran-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,79 River Road,Uxbridge,MA,1569,79 River Road,Uxbridge,MA,1569,79 River Road,Uxbridge,MA,1569,16500,16,Yes,1346988,2019-01-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.61646700999995, 42.036445007000054]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,79+River+Road+Uxbridge+MA,-71.6164235,42.0361142,13457,141
MR281427,MRN281427,"The Green Lady Dispensary, Inc.",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,11 Amelia Drive,Nantucket,MA,2554,11 Amelia Drive,Nantucket,MA,2554,11 Amelia Drive,Nantucket,MA,2554,7600,3,Yes,1331160,2018-05-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.08611103099997, 41.26660299100007]}",12,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,11+Amelia+Drive+Nantucket+MA,-70.0858778,41.2665405,10172,215
MR282399,MRN282399,"Resinate, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,120 Gilboa Street,Douglas,MA,1516,120 Gilboa Street,Douglas,MA,1516,135 Westborough Road,Grafton,MA,1519,3000,11,Yes,1323894,2019-02-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.68867499999999, 42.20482000000004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,120+Gilboa+Street+Douglas+MA,-71.6997806,42.0838899,8471,133
MR282695,MRN282695,Community Growth Partners Great Barrington Operations LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,783 South Main Street,Great Barrington,MA,1230,783 South Main Street,Great Barrington,MA,1230,783 South Main Street,Great Barrington,MA,1230,2965,25,Yes,1372875,2019-05-08T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36283200999998, 42.179175994000055]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,783+South+Main+Street+Great+Barrington+MA,-73.3628796,42.1791367,7104,269
MR283179,MRN283179,"Western Front, LLC",Marijuana Retailer,0,10000,Not a DBE,PROVISIONAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,699 Boylston Street,Boston,MA,2116,699 Boylston Street,Boston,MA,2116,567-569 Massachusetts Ave.,Cambridge,MA,2139,2000,9,Yes,1322367,2019-12-10T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.10234998699998, 42.36493300800004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,699+Boylston+Street+Boston+MA,-71.0792579,42.3499345,617594,49.8
MR281457,MRN281457,MJ's Market,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,119 Drum Hill Road,Chelmsford,MA,1824,119 Drum Hill Road,Chelmsford,MA,1824,13 Centennial Drive,Grafton,MA,1536,15300,8,Yes,1329181,2018-05-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.68935897399996, 42.249363997000046]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,119+Drum+Hill+Road+Chelmsford+MA,-71.3652499,42.62353,33802,41.6
MR283357,MRN283357,"Krishna Lenox, LLC",Marijuana Retailer,1500,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,55 Pittsfield Road,Lenox,MA,2140,55 Pittsfield Road,Lenox,MA,2140,55 Pittsfield Road,Lenox,MA,2140,7464,40,Yes,1383936,2020-03-13T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.27762895899997, 42.37717599300004]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+Pittsfield+Road+Lenox+MA,-73.2798532,42.3776171,5025,258
MR281970,MRN281970,"Garden Wonders, Inc",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,3 Route 146,Millville,MA,1529,180 warren street,waltham,MA,2453,3 Route 146,Millville,MA,1529,1440,2,Yes,1335946,2018-10-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.58913181199995, 42.01467127800004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,3+Route+146+Millville+MA,-71.5923822,42.0160978,3190,148
MR283095,MRN283095,NS AJO Holdings Inc.,Marijuana Retailer,1500,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,67 Dana Street,Cambridge,MA,2138,67 Dana Street,Cambridge,MA,2138,23 Elm Street,Watertown,MA,2472,2988,4,Yes,1345753,2019-10-30T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.15526703699999, 42.36318999100007]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,67+Dana+Street+Cambridge+MA,-71.1079664,42.3734551,105162,56
MR282926,MRN282926,Alexsofia LLC,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,41 Strong Ave.,Northampton,MA,1060,20 Hillside Lane,Ashley Falls,MA,1222,41 Strong Ave.,Northampton,MA,1060,1200,87,Yes,1386628,2019-08-12T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.62757900799994, 42.31910901700007]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,41+Strong+Ave.+Northampton+MA,-72.6275212,42.31913,28549,212
MR282318,MRN282318,HIGHMINDED LLC,Marijuana Retailer,300,10000,"Lesbian, Gay, Bisexual, and Transgender Owned Business",FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,126 Main Street,Great Barrington,MA,1230,126 Main Street,Great Barrington,MA,1230,126 Main Street,Great Barrington,MA,1230,1827,20,Yes,1332869,2019-01-22T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36040603599999, 42.19946401300007]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,126+Main+Street+Great+Barrington+MA,-73.3603351,42.1994697,7104,266
MR281308,MRN281308,JOLO CAN LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,80 Eastern Avenue,Chelsea,MA,2150,80 Eastern Avenue,Chelsea,MA,2150,80 Eastern Avenue,Chelsea,MA,2150,34950,180,Yes,1325941,2018-04-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.02365196299996, 42.389942008000055]}",4,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,80+Eastern+Avenue+Chelsea+MA,-71.023697,42.3899668,35177,42.8
MR281744,MRN281744,"CNA Stores, Inc.",Marijuana Retailer,300,10000,Veteran-Owned Business | Disability-Owned Business,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,57 South Hunt Road,Amesbury,MA,1913,57 South Hunt Road,Amesbury,MA,1913,558 River Street,Haverhill,MA,1830,9300,4,Yes,1336643,2018-07-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.10263497199998, 42.76449497900006]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,57+South+Hunt+Road+Amesbury+MA,-70.961166,42.83373,16283,23.7
MR283652,MRN283652,"208 Worcester Street, LLC",Marijuana Retailer,1500,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,208 Worcester Street,Southbridge,MA,1550,208 Worcester Street,Southbridge,MA,1550,208 Worcester Street,Southbridge,MA,1550,1300,16,Yes,1423236,2020-07-09T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.02660099199994, 42.08366299100004]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,208+Worcester+Street+Southbridge+MA,-72.026608,42.0836528,16719,142
MR282969,MRN282969,New Green LLC,Marijuana Retailer,1500,10000,Minority-Owned Business | Woman-Owned Business,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,71 main Street,South Egremont,MA,1258,P.O. Box 22,South Egremont,MA,1258,71 Main Street,Egremont,MA,1258,1000,12,Yes,1387877,2019-09-03T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.41983567699998, 42.16015424300008]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,71+main+Street+South+Egremont+MA,-73.4192281,42.1600282,0,273
MR282313,MRN282313,"Union Twist, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,630 Worcester Road,Framingham,MA,1702,"One International Place, Suite 3700",Boston,MA,2110,630 Worcester Road,Framingham,MA,1702,6550,14,Yes,1353659,2019-01-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.42259995999996, 42.29783599800004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,630+Worcester+Road+Framingham+MA,-71.4225846,42.2978425,68318,81.6
MR282799,MRN282799,Royal Hemp LLC,Marijuana Retailer,300,0,Not a DBE,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,660 CHESHIRE ROAD,LANESBOROUGH,MA,1224,660 CHESHIRE ROAD,LANESBOROUGH,MA,1224,660 Cheshire Road,Lanesborough,MA,1224,2400,17,Yes,1381864,2019-06-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.20199401699995, 42.49285401000003]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,660+CHESHIRE+ROAD+LANESBOROUGH+MA,-73.2020265,42.4928965,3091,274
MR282376,MRN282376,TDMA LLC,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,74 Grafton St,Worcester,MA,1604,74 Grafton St.,Worcester,MA,1604,74 Grafton Street,Worcester,MA,1604,4650,37,Yes,1337438,2019-02-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.79402295999995, 42.25919798100006]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,74+Grafton+St+Worcester+MA,-71.7939772,42.2592074,181045,99.2
MR282398,MRN282398,"Resinate, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,120 Gilboa Street,Douglas,MA,1516,120 Gilboa Street,Douglas,MA,1516,110 Pleasant Street,Northampton,MA,1060,9675,13,Yes,1323894,2019-02-11T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.62790900299996, 42.318637996000064]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,120+Gilboa+Street+Douglas+MA,-71.6997806,42.0838899,8471,133
MR282232,MRN282232,"Four Daughters Compassionate Care, Inc.",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,11 Richards Road,Plymouth,MA,2360,415 N. Dearborn St.,Chicago,IL,60654,11 Richards Road,Plymouth,MA,2360,6000,11,Yes,1342887,2018-12-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.70793400099996, 41.95669098800005]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,11+Richards+Road+Plymouth+MA,-70.707823,41.9565722,56468,112
MR282958,MRN282958,GTE Taunton LLC,Marijuana Retailer,300,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,120 Bergeron Way,Stoughton,MA,2072,120 Bergeron Way,Stoughton,MA,2072,295 Broadway Street,Taunton,MA,2780,3864,29,Yes,1372660,2019-08-28T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.08890499499995, 41.92646601300004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,120+Bergeron+Way+Stoughton+MA,-71.0782031,42.1089005,26962,83.5
MR282562,MRN282562,"Lazy River Products, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,145 Broadway Rd,Dracut,MA,1826,155 Broadway Rd,Dracut,MA,1826,"145 Broadway Rd Dracut, MA 01826",Dracut,MA,1826,35000,112,Yes,1362915,2019-04-02T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.29360003899995, 42.67564198600007]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,145+Broadway+Rd+Dracut+MA,-71.2939634,42.6753195,29457,37.6
MR282468,MRN282468,In Good Health Inc.,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,1200 West Chestnut Street,Brockton,MA,2301,1200 W CHESTNUT ST,BROCKTON,MA,2301,1200 West Chestnut Street,Brockton,MA,2301,55000,10,Yes,462680110,2019-03-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.06516300299995, 42.05271998100005]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1200+West+Chestnut+Street+Brockton+MA,-71.0651908,42.0525823,93810,88.2
MR281939,MRN281939,Green World LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,897 N Montello St,Brockton,MA,2301,40 Chilton Road,Brockton,MA,2301,897 North Montello Street,Brockton,MA,2301,3100,17,Yes,1347390,2018-10-01T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.02350997299999, 42.10763598900007]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,897+N+Montello+St+Brockton+MA,-71.0235437,42.1076588,93810,83.6
MR281275,MRN281275,"Alchemy League, Inc",Marijuana Retailer,300,0,"Lesbian, Gay, Bisexual, and Transgender Owned Business | Minority-Owned Business | Veteran-Owned Business | Woman-Owned Business",PROVISIONAL CONSIDERATION,ECONOMIC EMPOWERMENT,APPROVED,1,12 Marcella St,Roxbury,MA,2119,12 Marcella St,Roxbury,MA,2119,1 Cabot st,Holyoke,MA,1013,4000,5,Yes,1313966,2018-04-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.60216700499996, 42.196627996000075]}",11,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,12+Marcella+St+Roxbury+MA,-71.0939049,42.3210715,0,54.4
MR281616,MRN281616,"Alfreds Finest, Inc.",Marijuana Retailer,1500,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,8 Scobee Circle,Plymouth,MA,2360,99 Main St.,Plympton,MA,2367,8 Scobee Circle,Plymouth,MA,2360,3000,7,Yes,1325599,2018-06-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.70712598499995, 41.94957198700007]}",3,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,8+Scobee+Circle+Plymouth+MA,-70.7071359,41.9495448,56468,112
MR281246,MRN281246,"Apical, Inc.",Marijuana Retailer,300,10000,Minority-Owned Business,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,102 Northampton Street,Easthampton,MA,1027,102 Northampton Street,Easthampton,MA,1027,102 Northampton Street,Easthampton,MA,1027,2500,5,Yes,1287976,2018-04-17T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.67245202899994, 42.27885798700004]}",5,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,102+Northampton+Street+Easthampton+MA,-72.6724909,42.2788319,16053,208
MR283143,MRN283143,Uma Flowers LLC,Marijuana Retailer,1500,0,Woman-Owned Business | Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,109 Raffaele Drive,Waltham,MA,2452,109 Raffaele Drive,Waltham,MA,2452,2 Tarbell Street,Pepperell,MA,1463,2900,12,Yes,1407416,2019-11-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.57279695899996, 42.666415983000036]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,109+Raffaele+Drive+Waltham+MA,-71.2207373,42.3994465,60632,62.5
MR282581,MRN282581,"The Haven Center, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,245 Route 6A,Orleans,MA,2653,245 Route 6A,Orleans,MA,2653,1435 Pleasant Street,Fall River,MA,2723,2914,9,Yes,1317348,2019-04-07T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.13425503099995, 41.69030199400004]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,245+Route+6A+Orleans+MA,-70.0062579,41.7762702,5890,189
MR282961,MRN282961,"Cosmopolitan Dispensary, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,82 Hartwell Street,Fall River,MA,2720,60 Rock Street,Fall River,MA,2720,82 Hartwell Street,Fall River,MA,2720,4200,9,Yes,1392318,2019-08-29T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.15316099999995, 41.69835599700008]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,82+Hartwell+Street+Fall+River+MA,-71.1531506,41.698333,88857,131
MR281907,MRN281907,"Western Front, LLC",Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,ECONOMIC EMPOWERMENT,APPROVED,1,699 Boylston Street,Boston,MA,2116,699 Boylston Street,Boston,MA,2116,121 Webster Ave,Chelsea,MA,2150,10000,81,Yes,1322367,2018-09-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.02411900199996, 42.40159101000006]}",4,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,699+Boylston+Street+Boston+MA,-71.0792579,42.3499345,617594,49.8
MR281814,MRN281814,"Herbology Group, Inc.",Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,55 Kestrel Lane,Amherst,MA,1002,55 Kestrel Lane,Amherst,MA,1002,8 Woodard Road,Greenfield,MA,1301,4400,12,Yes,1180219,2018-08-19T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.61962902399995, 42.58548099700005]}",7,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,55+Kestrel+Lane+Amherst+MA,-72.4972117,42.3575138,37819,158
MR282516,MRN282516,Nova Farms LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,34 Extension Street,Attleboro,MA,2703,34 Extension Street,Attleboro,MA,2703,1137 Worcester Road,Framingham,MA,1701,3092,36,Yes,1316771,2019-03-24T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.44394699099996, 42.29937801700004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,34+Extension+Street+Attleboro+MA,-71.324818,41.918324,43593,126
MR282316,MRN282316,"Green Meadows Farm, LLC",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,P.O. Box 2249,Hamilton,MA,1982,P. O. Box 829,Southbridge,MA,1550,64 Mill Street,Southbridge,MA,1550,8304,84,Yes,1311857,2019-01-21T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.04342196299996, 42.082295987000066]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,P.O.+Box+2249+Hamilton+MA,-70.8431049,42.6362052,7764,20
MR282974,MRN282974,"Community Care Collective, Inc.",Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,4 Republic Road,Billerica,MA,1862,37 Spartan Arrow Road,Littleton,MA,1460,4 Republic Road,Billerica,MA,1862,4500,25,Yes,1358223,2019-09-04T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.29934965999998, 42.55776644900004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,4+Republic+Road+Billerica+MA,-71.2992589,42.5572926,40243,42
MR282052,MRN282052,Curaleaf Massachusetts Inc,Marijuana Retailer,300,5000,Not a DBE,FINAL LICENSE,RMD PRIORITY,APPROVED,1,170 Commercial Street,Provincetown,MA,2657,101 Accord Park Drive,Norwell,MA,2061,170 Commercial Street,Provincetown,MA,2657,2000,137,Yes,1320247,2018-11-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.19015903099995, 42.04783400200006]}",9,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,170+Commercial+Street+Provincetown+MA,-70.190162,42.0478287,2942,234
MR281594,MRN281594,Krypies LLC,Marijuana Retailer,300,5000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,1450 East Street,Pittsfield,MA,1201,1450 East Street,Pittsfield,MA,1201,1450 East Street - Suite 2,Pittsfield,MA,1201,1450,25,Yes,1321904,2018-06-13T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.21546298099997, 42.45403599100007]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,1450+East+Street+Pittsfield+MA,-73.2154834,42.4540179,44737,269
MR282815,MRN282815,"Pure Lowell, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,673 â€“ 681 Rogers Street,Lowell,MA,1852,673-681 Rogers St,Lowell,MA,1852,673-681 Rogers Street,Lowell,MA,1852,3700,44,Yes,1417550,2019-06-26T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.28094696999995, 42.63057701900004]}",1,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,673+â€“+681+Rogers+Street+Lowell+MA,-71.280673,42.6305048,106519,32.2
MR282630,MRN282630,Elev8 Cannabis Inc.,Marijuana Retailer,300,0,Minority-Owned Business,PROVISIONAL CONSIDERATION,GENERAL APPLICANT,APPROVED,1,243 Main Street,Athol,MA,1331,243 Main Street,Athol,MA,1331,217 Main Street,Williamstown,MA,1267,0,11,Yes,1337824,2019-04-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.18432395999997, 42.70138800700005]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,243+Main+Street+Athol+MA,-72.2343202,42.593442,11584,120
MR282334,MRN282334,Greenhouse Naturals LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,80A Lawrence Road,Boxford,MA,1921,80A Lawrence Road,Boxford,MA,1921,11-23 Enon Street,Beverly,MA,1915,2700,52,Yes,1348475,2019-01-25T00:00:00.000,"{'type': 'Point', 'coordinates': [-70.88405899299994, 42.584218012000065]}",10,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,80A+Lawrence+Road+Boxford+MA,-71.0344782,42.6661809,7965,15.4
MR282424,MRN282424,Ironstone Express Inc.,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,454 Quaker hwy,Uxbridge,MA,1569,p.o box 101,UXBRIDGE,MA,1569,454 Quaker Highway,Uxbridge,MA,1569,4000,5,Yes,1368498,2019-02-20T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.62028102699998, 42.040850996000074]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,454+Quaker+hwy+Uxbridge+MA,-71.6202858,42.0408219,13457,140
MR281967,MRN281967,"Berkshire Welco, LLC",Marijuana Retailer,300,10000,Not a DBE,FINAL LICENSE,GENERAL APPLICANT,APPROVED,1,264 Main St.,Great Barrington,MA,1230,490 Main Street,Great Barrington,MA,1230,1375 Main St.,Sheffield,MA,1257,5000,6,Yes,1317151,2018-10-15T00:00:00.000,"{'type': 'Point', 'coordinates': [-73.36367003299995, 42.14257100700007]}",6,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,264+Main+St.+Great+Barrington+MA,-73.3620506,42.1952679,7104,267
MR282757,MRN282757,Four Score Holdings LLC,Marijuana Retailer,300,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,144 Sturbridge Road,Charlton,MA,1507,144 Sturbridge,Charlton,MA,1507,144 Sturbridge Road,Charlton,MA,1507,20960,10,Yes,1311831,2019-06-05T00:00:00.000,"{'type': 'Point', 'coordinates': [-72.01980896899994, 42.13907600500005]}",14,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,144+Sturbridge+Road+Charlton+MA,-72.0196864,42.1390958,12981,137
MR283153,MRN283153,ReLeaf Alternative Inc.,Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,GENERAL APPLICANT,APPROVED,1,34 Brentwood Drive,North Easton,MA,2356,34 Brentwood Drive,North Easton,MA,2356,321 School Street,Mansfield,MA,2048,3223,11,Yes,1360078,2019-11-27T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.23230502499996, 42.014689987000054]}",2,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,34+Brentwood+Drive+North+Easton+MA,-71.1271299,42.0526849,0,94
MR283074,MRN283074,"Silver Therapeutics, Inc.",Marijuana Retailer,1500,10000,Not a DBE,PROVISIONAL LICENSE,RMD PRIORITY,APPROVED,1,82 Wendell Ave,Pittsfield,MA,1201,89 Court Street,Saratoga Springs,NY,12866,717-721 American Legion Highway,Boston,MA,2121,7245,4,Yes,1258563,2019-10-23T00:00:00.000,"{'type': 'Point', 'coordinates': [-71.11431096299998, 42.283199016000026]}",4,2020-11-23T00:00:00.000,CURRENT REPORTING PERIOD,82+Wendell+Ave+Pittsfield+MA,-73.2530846,42.4453215,44737,266
